"","OTU","S1","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S2","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S3","S30","S31","S32","S33","S34","S35","S4","S5","S6","S7","S8","S9","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_424","16S_424",0,83,42,0,0,0,0,0,0,0,0,0,0,58,0,0,0,53,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"16S_426","16S_426",45,105,0,83,105,68,78,52,52,91,82,95,68,85,34,0,81,112,81,64,51,80,86,58,0,80,73,111,99,48,87,90,80,87,70,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_430","16S_430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Thalassolituus",NA
"16S_432","16S_432",0,67,28,0,13,43,0,28,0,36,34,0,53,0,16,36,23,30,39,13,20,24,0,16,37,20,28,50,55,0,0,0,0,27,46,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_433","16S_433",0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,103,0,0,0,0,0,77,0,0,0,0,0,0,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nodularia PCC-9350",NA
"16S_434","16S_434",0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,38,0,0,0,0,0,35,0,0,0,0,82,0,39,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_435","16S_435",80,66,78,0,53,81,87,67,33,51,63,108,30,58,52,0,0,119,112,54,140,43,88,99,79,92,62,47,64,50,125,76,56,0,42,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter",NA
"16S_440","16S_440",0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,49,38,0,0,0,0,60,0,62,29,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_442","16S_442",46,83,0,108,90,84,92,61,0,109,54,78,41,74,0,61,69,85,61,78,69,79,59,73,90,75,78,81,47,59,83,80,76,61,57,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_443","16S_443",68,75,41,88,105,104,61,53,30,63,63,84,29,90,34,34,54,57,66,68,66,63,118,77,54,89,78,46,97,49,77,60,57,72,33,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_446","16S_446",0,46,26,0,26,26,47,20,0,19,23,0,50,23,0,34,0,0,31,11,22,24,0,17,31,31,20,50,58,0,0,0,0,18,30,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Motiliproteus",NA
"16S_453","16S_453",41,50,102,51,71,63,47,42,51,66,44,82,32,54,44,94,61,50,53,64,64,47,115,54,48,71,85,65,71,125,48,53,47,49,42,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_455","16S_455",58,60,0,75,86,64,73,58,31,51,76,101,50,82,30,0,62,66,80,71,57,87,85,60,39,55,77,62,58,81,66,68,63,69,59,"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA
"16S_457","16S_457",78,91,95,79,95,58,50,57,31,63,47,94,33,99,45,31,44,40,56,54,61,59,103,74,47,81,68,47,76,43,76,59,47,78,0,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_459","16S_459",0,54,57,0,43,50,115,57,139,99,72,51,101,73,0,170,106,0,0,50,84,41,39,0,65,57,53,75,37,49,58,58,65,117,85,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Sva0081 sediment group",NA
"16S_464","16S_464",0,0,46,0,0,0,0,0,0,0,0,0,28,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_466","16S_466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,0,0,0,0,0,0,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
