Family,Relative,Microcosms,Sample
Bacteriovoracaceae,2.235453546,80D_20C,S50
Moraxellaceae,0.068023944,80D_20C,S50
Methylophagaceae,9.386504049,80D_20C,S50
Pseudomonadaceae,0.32491437,80D_20C,S50
Nitrincolaceae,3.182987078,80D_20C,S50
Porticoccaceae,0.526051837,80D_20C,S50
Saccharospirillaceae,0.528719443,80D_20C,S50
Colwelliaceae,1.443174664,80D_20C,S50
Burkholderiaceae,10.35111026,80D_20C,S50
Arcobacteraceae,54.57387667,80D_20C,S50
Crocinitomicaceae,0.120042255,80D_20C,S50
NS11-12 marine group,0,80D_20C,S50
Flavobacteriaceae,2.426987633,80D_20C,S50
JGI 0000069-P22 order,9.957905183,80D_20C,S50
Other,1.156407056,80D_20C,S50
Mycobacteriaceae,0.152853805,50D_50C,S51
Sporichthyaceae,0.162190424,50D_50C,S51
Caulobacteraceae,0.138715495,50D_50C,S51
Rhodobacteraceae,4.732599208,50D_50C,S51
SAR11_Clade III,0.093632959,50D_50C,S51
Bacteriovoracaceae,1.060906773,50D_50C,S51
Moraxellaceae,0.045882817,50D_50C,S51
Methylophagaceae,2.857805948,50D_50C,S51
Pseudomonadaceae,0.518582541,50D_50C,S51
Nitrincolaceae,2.802052989,50D_50C,S51
Porticoccaceae,0.017872958,50D_50C,S51
Saccharospirillaceae,0.179263101,50D_50C,S51
Colwelliaceae,1.616835793,50D_50C,S51
Burkholderiaceae,4.885186252,50D_50C,S51
Arcobacteraceae,73.82892111,50D_50C,S51
Crocinitomicaceae,0.104303381,50D_50C,S51
NS11-12 marine group,0.027209578,50D_50C,S51
Flavobacteriaceae,0.340386483,50D_50C,S51
JGI 0000069-P22 order,5.548886541,50D_50C,S51
Other,0.885911842,50D_50C,S51
Mycobacteriaceae,0.068023944,50D_50C,S52
Sporichthyaceae,0.050150986,50D_50C,S52
Caulobacteraceae,0.162990706,50D_50C,S52
Rhodobacteraceae,4.377807655,50D_50C,S52
SAR11_Clade III,0.036012676,50D_50C,S52
Bacteriovoracaceae,1.03156311,50D_50C,S52
Moraxellaceae,0.026142536,50D_50C,S52
Methylophagaceae,0.991282265,50D_50C,S52
Pseudomonadaceae,0.912587898,50D_50C,S52
Nitrincolaceae,12.82798212,50D_50C,S52
Porticoccaceae,0.559663668,50D_50C,S52
Saccharospirillaceae,0.144050706,50D_50C,S52
Colwelliaceae,0.632489303,50D_50C,S52
Burkholderiaceae,10.63254266,50D_50C,S52
Arcobacteraceae,58.4776508,50D_50C,S52
Crocinitomicaceae,0.071491832,50D_50C,S52
NS11-12 marine group,0.050150986,50D_50C,S52
Flavobacteriaceae,0.279831834,50D_50C,S52
JGI 0000069-P22 order,7.764333045,50D_50C,S52
Other,0.903251275,50D_50C,S52
Mycobacteriaceae,0.137648452,50D_50C,S53
Sporichthyaceae,0.171793805,50D_50C,S53
Caulobacteraceae,0.315044229,50D_50C,S53
Rhodobacteraceae,5.026035831,50D_50C,S53
SAR11_Clade III,0.107504508,50D_50C,S53
Bacteriovoracaceae,2.370434393,50D_50C,S53
Moraxellaceae,0.182997749,50D_50C,S53
Methylophagaceae,3.363317221,50D_50C,S53
Pseudomonadaceae,1.760619738,50D_50C,S53
Nitrincolaceae,1.967092417,50D_50C,S53
Porticoccaceae,0.145117748,50D_50C,S53
Saccharospirillaceae,0.120842537,50D_50C,S53
Colwelliaceae,0.264893242,50D_50C,S53
Burkholderiaceae,5.344814708,50D_50C,S53
Arcobacteraceae,61.19700801,50D_50C,S53
Crocinitomicaceae,0.04694986,50D_50C,S53
NS11-12 marine group,0.058153803,50D_50C,S53
Flavobacteriaceae,5.893541193,50D_50C,S53
JGI 0000069-P22 order,10.33830575,50D_50C,S53
Other,1.187884803,50D_50C,S53
Mycobacteriaceae,0.201137467,50D_50C,S54
Sporichthyaceae,0.613015782,50D_50C,S54
Caulobacteraceae,0.477234653,50D_50C,S54
Rhodobacteraceae,5.6046395,50D_50C,S54
SAR11_Clade III,1.05023635,50D_50C,S54
Bacteriovoracaceae,11.21381393,50D_50C,S54
Moraxellaceae,0,50D_50C,S54
Methylophagaceae,4.277238921,50D_50C,S54
Pseudomonadaceae,0.416946765,50D_50C,S54
Nitrincolaceae,9.446258416,50D_50C,S54
Porticoccaceae,0.248087327,50D_50C,S54
Saccharospirillaceae,0.229947608,50D_50C,S54
Colwelliaceae,0.963539166,50D_50C,S54
Burkholderiaceae,20.04572276,50D_50C,S54
