Class,Relative,Sample,Microcosms
Other,0.05655324,S53,50D_50C
Acidimicrobiia,0.053085353,S54,50D_50C
Actinobacteria,0.869639446,S54,50D_50C
Thermoleophilia,0.055486198,S54,50D_50C
Alphaproteobacteria,7.838759243,S54,50D_50C
Deltaproteobacteria,11.21381393,S54,50D_50C
Gammaproteobacteria,36.38160633,S54,50D_50C
Campylobacteria,32.17025726,S54,50D_50C
Bacteroidia,0.741327614,S54,50D_50C
Verrucomicrobiae,0.174994932,S54,50D_50C
Parcubacteria,0.172594086,S54,50D_50C
Gracilibacteria,10.11422687,S54,50D_50C
Other,0.214208735,S54,50D_50C
Acidimicrobiia,0.077360564,S55,50D_50C
Actinobacteria,0.464430146,S55,50D_50C
Thermoleophilia,0.032544789,S55,50D_50C
Alphaproteobacteria,2.573705944,S55,50D_50C
Deltaproteobacteria,2.739631017,S55,50D_50C
Gammaproteobacteria,22.96435012,S55,50D_50C
Campylobacteria,66.33134863,S55,50D_50C
Bacteroidia,1.557881708,S55,50D_50C
Verrucomicrobiae,0.048550423,S55,50D_50C
Parcubacteria,0.025609014,S55,50D_50C
Gracilibacteria,3.119498063,S55,50D_50C
Other,0.065089578,S55,50D_50C
Acidimicrobiia,0.0365462,S56,20D_80C
Actinobacteria,0.24995465,S56,20D_80C
Thermoleophilia,0.03494563,S56,20D_80C
Alphaproteobacteria,1.39942593,S56,20D_80C
Deltaproteobacteria,0.40094113,S56,20D_80C
Gammaproteobacteria,5.44698401,S56,20D_80C
Campylobacteria,89.0801562,S56,20D_80C
Bacteroidia,0.21420873,S56,20D_80C
Verrucomicrobiae,0.05788704,S56,20D_80C
Parcubacteria,0.02347493,S56,20D_80C
Gracilibacteria,3.00212341,S56,20D_80C
Other,0.05335211,S56,20D_80C
Acidimicrobiia,0.098167888,S57,20D_80C
Actinobacteria,0.733858318,S57,20D_80C
Thermoleophilia,0.07042479,S57,20D_80C
Alphaproteobacteria,6.011449364,S57,20D_80C
Deltaproteobacteria,1.19642114,S57,20D_80C
Gammaproteobacteria,18.52171965,S57,20D_80C
Campylobacteria,59.82986011,S57,20D_80C
Bacteroidia,0.573268457,S57,20D_80C
Verrucomicrobiae,0.148852396,S57,20D_80C
Parcubacteria,0.138448734,S57,20D_80C
Gracilibacteria,12.56922437,S57,20D_80C
Other,0.10830479,S57,20D_80C
Acidimicrobiia,0.038680282,S58,20D_80C
Actinobacteria,0.300372398,S58,20D_80C
Thermoleophilia,0.026142536,S58,20D_80C
Alphaproteobacteria,8.451241504,S58,20D_80C
Deltaproteobacteria,3.501765955,S58,20D_80C
Gammaproteobacteria,36.08070041,S58,20D_80C
Campylobacteria,41.80538216,S58,20D_80C
Bacteroidia,2.884215244,S58,20D_80C
Verrucomicrobiae,0.044015493,S58,20D_80C
Parcubacteria,0.02827662,S58,20D_80C
Gracilibacteria,6.780786837,S58,20D_80C
Other,0.058420564,S58,20D_80C
Acidimicrobiia,0.012804507,S59,20D_80C
Actinobacteria,0.119508734,S59,20D_80C
Thermoleophilia,0.016005634,S59,20D_80C
Alphaproteobacteria,6.719698667,S59,20D_80C
Deltaproteobacteria,0.744528741,S59,20D_80C
Gammaproteobacteria,12.4174376,S59,20D_80C
Campylobacteria,58.3186615,S59,20D_80C
Bacteroidia,7.486101774,S59,20D_80C
Verrucomicrobiae,0.038947043,S59,20D_80C
Parcubacteria,0.019740282,S59,20D_80C
Gracilibacteria,14.05214636,S59,20D_80C
Other,0.054419156,S59,20D_80C
Acidimicrobiia,0.035212395,S60,20D_80C
Actinobacteria,0.23528282,S60,20D_80C
Thermoleophilia,0.030410705,S60,20D_80C
Alphaproteobacteria,3.996073284,S60,20D_80C
